Name,RAS,Height,Weight,40,10,Vert,Broad,Shuttle
Paul Williams-2005,7.89,73.25,205,4.53,1.61,38.5,125,4.24
Sidney Rice-2006,7.1,75.5,200,4.53,1.58,39.5,119,4.34
Sidney Rice-2005,7.1,75.5,200,4.53,1.58,39.5,119,4.34
Johnnie Morant-2003,8.47,76,229,4.54,1.6,41,130,4.22
Ryne Robinson-2006,5.26,69.125,179,4.54,1.61,35,123,4.21
Ryne Robinson-2005,5.26,69.125,179,4.54,1.61,35,123,4.21
Ryne Robinson-2004,5.26,69.125,179,4.54,1.61,35,123,4.21
Ed Hinkel-2005,5.48,72.25,190,4.54,1.59,34,116,4.1
Ed Hinkel-2004,5.48,72.25,190,4.54,1.59,34,116,4.1
Maurice Brown-2002,4.37,72.25,219,4.54,1.6,33,117,4.25
Doug Gabriel-2002,6.11,74.25,213,4.54,1.62,35.5,116,4.16
Latarence Dunbar-2001,2.49,70.75,196,4.54,1.64,34,122,4.35
Juaquin Iglesias-2008,3.6,72.875,210,4.54,1.64,34.5,116,4.4
Juaquin Iglesias-2007,3.6,72.875,210,4.54,1.64,34.5,116,4.4
D.J. Hall-2007,6.59,73.875,193,4.54,1.55,29.5,122,
D.J. Hall-2006,6.59,73.875,193,4.54,1.55,29.5,122,
D.J. Hall-2005,6.59,73.875,193,4.54,1.55,29.5,122,
Dustin Keller-2007,9.5,74.125,242,4.55,1.62,38,131,4.14
Dustin Keller-2006,9.5,74.125,242,4.55,1.62,38,131,4.14
Joel Filani-2006,7.03,74.125,211,4.55,1.63,32.5,117,
Joel Filani-2005,7.03,74.125,211,4.55,1.63,32.5,117,
Marcus Henry-2007,6.44,75.625,207,4.55,1.59,31.5,126,4.3
Clinton Solomon-2005,3.8,74.75,214,4.55,1.6,33,114,4.48
Clinton Solomon-2004,3.8,74.75,214,4.55,1.6,33,114,4.48
Limas Sweed-2006,7.53,75.875,215,4.55,1.58,35,,
J.R. Russell-2004,8.97,75,206,4.56,1.54,34.5,,
J.R. Russell-2003,8.97,75,206,4.56,1.54,34.5,,
Chris Henry-2004,5.51,76,197,4.56,1.67,36,,
Chris Henry-2003,5.51,76,197,4.56,1.67,36,,
Shawn Nelson-2008,7.99,77,240,4.56,1.66,33,115,4.46
Ryan Moore-2003,4.98,74.25,217,4.56,1.6,32,110,4.35
P.K. Sam-2003,7.7,75.375,210,4.56,1.58,34.5,,
Justin Harper-2007,6.23,75.5,213,4.56,1.54,28.5,120,4.43
Justin Harper-2005,6.23,75.5,213,4.56,1.54,28.5,120,4.43
Brandon Marshall-2005,7.48,76.5,229,4.56,1.6,37,120,
Kenny Britt-2008,7.08,74.875,218,4.56,1.63,37,124,4.47
Kenny Britt-2007,7.08,74.875,218,4.56,1.63,37,124,4.47
Jarett Dillard-2008,4.95,70.25,191,4.57,1.6,42.5,129,4.41
Jarett Dillard-2007,4.95,70.25,191,4.57,1.6,42.5,129,4.41
Jarett Dillard-2006,4.95,70.25,191,4.57,1.6,42.5,129,4.41
Dwayne Bowe-2006,6.16,74.25,221,4.57,1.64,33,125,4.35
Dwayne Bowe-2005,6.16,74.25,221,4.57,1.64,33,125,4.35
Airese Currie-2004,3.93,70.5,186,4.57,1.72,38,125,4.07
Airese Currie-2003,3.93,70.5,186,4.57,1.72,38,125,4.07
Quan Cosby-2008,2.92,68.625,196,4.57,1.6,,,4.47
Quan Cosby-2007,2.92,68.625,196,4.57,1.6,,,4.47
Quan Cosby-2006,2.92,68.625,196,4.57,1.6,,,4.47
Arnaz Battle-2002,6.35,72.625,217,4.57,1.63,35,117,4.06
Mike Williams-2009,8.12,76.625,229,4.57,1.6,36.5,,
Mike Williams-2007,8.12,76.625,229,4.57,1.6,36.5,,
Mike Williams-2003,8.12,76.625,229,4.57,1.6,36.5,,
Mike Williams-2002,8.12,76.625,229,4.57,1.6,36.5,,
Snoop Minnis-2000,5.87,72.75,171,4.57,1.56,37.5,115,4.07
Ronald Bellamy-2002,3.08,72,208,4.58,1.63,30.5,119,4.1
Matt Trannon-2006,6.47,78,216,4.58,1.59,36.5,118,4.34
Matt Trannon-2005,6.47,78,216,4.58,1.59,36.5,118,4.34
Derek Abney-2003,3.72,69.25,179,4.58,1.61,33.5,120,4.08
Derek Abney-2002,3.72,69.25,179,4.58,1.61,33.5,120,4.08
Derek Abney-2001,3.72,69.25,179,4.58,1.61,33.5,120,4.08
Martin Nance-2005,6.91,76.25,213,4.58,1.59,33.5,112,4.09
Martin Nance-2003,6.91,76.25,213,4.58,1.59,33.5,112,4.09
Maurice Stovall-2005,7.96,76.375,217,4.58,1.62,35,122,4.16
Jerricho Cotchery-2003,7.62,72.5,212,4.58,1.59,36,121,3.91
Jerricho Cotchery-2002,7.62,72.5,212,4.58,1.59,36,121,3.91
Jacob Tamme-2007,6.63,75.5,236,4.58,1.56,30,109,4.27
Keenan Howry-2002,1.61,69.625,178,4.58,1.57,31.5,114,4.28
Keenan Howry-2001,1.61,69.625,178,4.58,1.57,31.5,114,4.28
Keenan Howry-2000,1.61,69.625,178,4.58,1.57,31.5,114,4.28
Brian Hartline-2007,6.24,73.625,195,4.58,1.63,34.5,120,4.12
Andrae Thurman-2002,2.82,71.75,192,4.58,1.64,34.5,121,4.33
