Name,Recs,Yds,TDs,Msrecs,Msyards,MStds,RAS,Height,Weight,40,10,Vert,Broad,Shuttle,Round ,Pick,NFLCar,Starter,CarAV,GP,GS,NFLRecs,NFLYds,NFLTDs,Recs/Year,Yds/Year,Tds/Year
Brandon Williams-2003,49,649,1,0.266304348,0.229085775,0.055555556,5.9,69.375,179,4.51,1.56,34.5,115,4.09,3,84,2,0,0,23,0,0,0,0,0,0,0
Brandon Williams-2002,52,663,3,0.304093567,0.287885367,0.2,5.9,69.375,179,4.51,1.56,34.5,115,4.09,3,84,2,0,0,23,0,0,0,0,0,0,0
Marcus Smith-2007,91,1125,4,0.359683794,0.366449511,0.25,5.78,73.375,221,4.51,1.54,26.5,111,4.42,4,106,3,0,0,21,0,0,0,0,0,0,0
Marcus Smith-2006,53,859,9,0.259803922,0.321001495,0.5,5.78,73.375,221,4.51,1.54,26.5,111,4.42,4,106,3,0,0,21,0,0,0,0,0,0,0
Nate Burleson-2002,138,1629,12,0.47260274,0.458098988,0.444444444,8.46,72.5,197,4.51,1.58,42.5,126,4.16,3,71,11,8,46,135,103,457,5630,39,41.54545455,511.8181818,3.545454545
Nate Burleson-2001,53,737,2,0.242009132,0.270260359,0.153846154,8.46,72.5,197,4.51,1.58,42.5,126,4.16,3,71,11,8,46,135,103,457,5630,39,41.54545455,511.8181818,3.545454545
Nate Burleson-2000,57,921,8,0.247826087,0.313585291,0.5,8.46,72.5,197,4.51,1.58,42.5,126,4.16,3,71,11,8,46,135,103,457,5630,39,41.54545455,511.8181818,3.545454545
D.J. Hackett-2003,78,1013,7,0.275618375,0.302297822,0.259259259,9.82,74.5,199,4.51,1.52,41,131,4.08,5,157,4,0,14,42,16,118,1575,9,29.5,393.75,2.25
Reggie Brown-2004,53,860,6,0.263681592,0.289367429,0.25,8.24,73.625,196,4.51,1.62,41.5,128,4,2,35,5,3,20,72,45,177,2574,17,35.4,514.8,3.4
Reggie Brown-2003,49,662,3,0.178832117,0.19272198,0.214285714,8.24,73.625,196,4.51,1.62,41.5,128,4,2,35,5,3,20,72,45,177,2574,17,35.4,514.8,3.4
Jordy Nelson-2007,122,1606,11,0.378881988,0.468905109,0.523809524,6.85,74.625,217,4.51,1.57,31,123,4.35,2,36,10,6,70,136,88,550,7848,69,55,784.8,6.9
Jordy Nelson-2005,45,669,8,0.274390244,0.302031603,0.533333333,6.85,74.625,217,4.51,1.57,31,123,4.35,2,36,10,6,70,136,88,550,7848,69,55,784.8,6.9
Kenneth Moore-2007,98,1011,5,0.35125448,0.394459618,0.384615385,4.7,70.75,195,4.51,1.53,28,120,4.3,8,500,0,0,0,0,0,0,0,0,0,0,0
Justin McCareins-2000,66,1168,10,0.44295302,0.531634046,0.769230769,9.63,73.75,209,4.51,1.58,41,129,3.99,4,124,8,4,33,114,67,240,3676,16,30,459.5,2
Courtney Taylor-2006,54,704,2,0.315789474,0.313585746,0.142857143,8.27,73.75,204,4.51,1.52,36,122,4.28,6,197,2,0,1,18,4,14,136,0,7,68,0
Courtney Taylor-2004,43,737,6,0.203791469,0.23882048,0.24,8.27,73.75,204,4.51,1.52,36,122,4.28,6,197,2,0,1,18,4,14,136,0,7,68,0
Drisan James-2004,40,568,1,0.180995475,0.180088776,0.055555556,5.95,72,193,4.52,1.6,39,126,4.39,8,500,0,0,0,0,0,0,0,0,0,0,0
Travis Wilson-2004,50,660,11,0.186567164,0.200121286,0.305555556,9.07,74,214,4.52,1.6,36.5,120,4.03,3,78,1,0,0,4,1,2,32,0,2,32,0
Chris Davis-2006,49,684,4,0.205020921,0.225074038,0.210526316,6.12,70.25,181,4.52,1.57,35.5,115,4.14,4,128,2,0,0,17,0,7,69,0,3.5,34.5,0
Chris Davis-2005,51,666,5,0.168316832,0.181273816,0.238095238,6.12,70.25,181,4.52,1.57,35.5,115,4.14,4,128,2,0,0,17,0,7,69,0,3.5,34.5,0
Andrew Means-2007,48,559,0,0.179775281,0.181906931,0,5.72,72.625,214,4.52,1.63,34.5,116,4.21,8,500,0,0,0,0,0,0,0,0,0,0,0
Walter Young-2002,57,832,6,0.220930233,0.245572609,0.230769231,9.16,76.625,214,4.52,1.58,39,121,4.25,7,226,4,0,0,9,0,1,17,0,0.25,4.25,0
Walter Young-2001,44,712,6,0.208530806,0.235371901,0.25,9.16,76.625,214,4.52,1.58,39,121,4.25,7,226,4,0,0,9,0,1,17,0,0.25,4.25,0
Ryan Grice-Mullen-2007,106,1372,13,0.230936819,0.240154035,0.254901961,5.89,70,187,4.53,1.55,27.5,118,4.16,8,500,0,0,0,0,0,0,0,0,0,0,0
Ryan Grice-Mullen-2006,46,770,11,0.103603604,0.124635804,0.177419355,5.89,70,187,4.53,1.55,27.5,118,4.16,8,500,0,0,0,0,0,0,0,0,0,0,0
Ryan Grice-Mullen-2005,85,1228,12,0.224274406,0.26631967,0.324324324,5.89,70,187,4.53,1.55,27.5,118,4.16,8,500,0,0,0,0,0,0,0,0,0,0,0
Skyler Green-2003,48,519,5,0.188235294,0.159349094,0.166666667,5.26,69.125,192,4.53,1.58,34,118,,4,125,3,0,0,11,0,3,33,0,1,11,0
Kelly Campbell-2001,56,708,3,0.212121212,0.211532716,0.157894737,2.37,70.125,171,4.53,1.62,,,,8,500,3,0,12,37,0,57,1062,8,19,354,2.666666667
Kelly Campbell-2000,59,963,10,0.255411255,0.322937626,0.434782609,2.37,70.125,171,4.53,1.62,,,,8,500,3,0,12,37,0,57,1062,8,19,354,2.666666667
Paul Williams-2005,43,729,7,0.158671587,0.215425532,0.225806452,7.89,73.25,205,4.53,1.61,38.5,125,4.24,3,80,1,0,0,5,0,1,7,0,1,7,0
Sidney Rice-2006,72,1090,10,0.296296296,0.334458423,0.416666667,7.1,75.5,200,4.53,1.58,39.5,119,4.34,2,44,7,3,33,81,57,243,3592,30,34.71428571,513.1428571,4.285714286
Sidney Rice-2005,70,1143,13,0.328638498,0.431483579,0.619047619,7.1,75.5,200,4.53,1.58,39.5,119,4.34,2,44,7,3,33,81,57,243,3592,30,34.71428571,513.1428571,4.285714286
